Lyric,Title,Singer,Emotion,Label
I'd give my all to have,My all,Mariah Carey,Joy,0
We'll be sailing,Song of the sea,Nolwenn Leroy,Joy,0
"Jesus, You have given us freedom",Resurrection Power,Chris Tomlin,Suprise,5
"Ripping, tissue is torn away",Eaten From Inside,Cannibal Corpse,fear,3
"See the paper layin' in the sidewalk, a little music from the house next door",Summer Breeze,Dash Crofts and Seals,Joy,0
"Sister finger, sister finger, where are you?",The Finger Family Song,ChuChu,Joy,0
The everlasting day,Joyful,Brenton Brown,Joy,0
These motherfuckers are thinkin' I'm playin',Kill You,Eminem,Anger,1
"Hang all the mistletoe
I'm gonna get to know you better
This Christmas",This Christmas,Donny Hathaway,Joy,0
"No, I won't sign you an autograph",The Way I Am,Eminem,Anger,1
"Oh, is it too late now to say sorry?",Sorry,Justin Bieber,Fear,3
"Go and raise a glass and say, ayy",Memories,Maroon 5,Sad,2
I wanna end me,bury a friend,Billie Eilish,Anger,1
"I LIKE BEATING KIDS FOR NO REASON AT ALL
I LIKE DOING DRUGS AND BEATING UP KIDS",l like drugs and child abuse ,Anal Cunt,Disgusting,4
"Lets style a bit, Italian shit, five thou spent",Crunk Muzik,The Diplomats,Anger,1
Raped violently.,"Stripped, Raped and Strangled",Cannibal Corpse,Fear,3
Cause I can sometimes treat the people,Sorry,Halsey,Sad,2
These slugs from his Smith and Wess REST!,Get It On The Floor,DMX,Anger,1
"Now I never, never get to clean up the mess I made, oh",When I Was Your Man,Bruno Mars,Sad,2
My cock is dripping with her blood,Addicted to Vaginal Skin,Cannibal Corpse,fear,3
"You hoes got no class, you bitches is broke still",Taki Taki,"DJ Snake, Nicki minaj And Selena Goemaz",Disgusting,4
"Call your name two, three times in a row",Crazy in Love,Beyoncé,Joy,0
She's giving me the excitations (excitations),Good Vibrations,The Beach Boys,Joy,0
Wanting a shoulder to cry on,Fly Before You Fall,Cynthia Erivo,Sad,2
"Well darling, just give me one more chance
And I'll give you everything I have
I'll try to be a better man",Better Man,Westlife,Joy,0
Raise Your Thugs Up,Who Gives a Fuck Where You From,DJ Kay Slay,Anger,1
"Joy wouldn't feel so good, if it wasn't for pain",Many Men,50 Cent,Anger,1
I would do anything to have you by my side,Another Lonely Night,Adam Lambert,Sad,2
Why'd you leave the keys upon the table?,Angry White Boy Polka,Weird Al Yankovic,Anger,1
Love was when I loved you,My Heart Will Go On,Celine Dion,Joy,0
Let me photograph you in this light in case it is the last time,When we are young,Adele,Fear,3
Never wonder where I am,The Power Of Love,Celine Dion,Joy,0
"He speaks and the sound of His voice
Is so sweet that the birds hush their singing",In the Garden, Brad Paisley,Joy,0
"Turn your back on me, get clapped and lose your legs",Many Men,50 Cent,Anger,1
Ya'll just make me laugh and giggle,Hip Hop Sinister,Hopsin,Anger,1
Beneath the trees where nobody sees,Teddy Bear's Picnic,Anne Murray,Joy,0
Since I left my baby behind,Blue Bayou,Linda Ronstadt,Sad,2
"In the confusion, my uncle grabbed the gold,
And we hightailed it down to Mexico.",Me & My Uncle,Grateful Dead,Suprise,5
Reminds me of you,When You're Gone,Avril Lavigne,Sad,2
"Bring it, get 'em",Move Bitch,Ludacris,Anger,1
Damn right I'm a maniac,Break Stuff,Limp Bizkit,Anger,1
Your daughter is my number one fan,I Don't Give a Fuck,Tupac Shakur,Anger,1
Sorry to my unknown lover,Sorry,Halsey,Sad,2
Love gone dark in the night and I can't see (you),Genesis,ARMORS,Anger,1
"So I wonder, where were you?",Maps,Maroon 5,Sad,2
You look as if you're going somewhere,So Lonely,The Police,Sad,2
Cause inside you're ugly,Angry White Boy Polka,Weird Al Yankovic,Anger,1
This crooked mind of mine got 'em all,Drop the World,Lil Wayne,Anger,1
Please show me hoe facts,Pull Up,Cardi B,Disgusting,4
But I'mma tell you like this bitch,Move Bitch,Ludacris,Anger,1
With the flashing lights had me stuck like reindeer,The Spiteful Chant,Kendrick Lamar,Anger,1
"Yeah I try my best, but there's no one left for me to lose",Another Lonely Night,Adam Lambert,Sad,2
Break their hearts and let them fall,I'll Be Missing You,Faith Evans and Sean Combs,Suprise,5
"You will never go cold or hungry
I'll be there when you're insecure",Next to You,Chris Brown,Suprise,5
And the bed sheets feel a different way,Better With You,Austin Mahone,Joy,0
Now you're covered in blood and she's filled with my cum,I'm kicking your ass and I'm fucking your bitch,Anal Cunt,Disgusting,4
I always play the starring role,So Lonely,The Police,Sad,2
We are going out to play just like every day,Me and My Teddy,Barney,Joy,0
"Til I have you at knife point, then you beg me to stop",Kill You,Eminem,Anger,1
Your voice is warm and tender,The Power Of Love,Celine Dion,Joy,0
In your darkest times,Maps,Maroon 5,Sad,2
My diamonds could never stand still,I Know There's Gonna Be (Good Times),Jamie xx,Joy,0
Gripping you right by the throat no chance to run,Code of the Slashers,Cannibal Corpse,fear,3
"Rancour fed I grasp her head
Hurl her ass against the wall
Merry thoughts I disenthrall
Taking my nails to devour her entrails",Nailed Through Her Cunt,Barren Gates,Fear,3
"Now blow up, blow up, hold up",The Spiteful Chant,Kendrick Lamar,Anger,1
"Another day, another lonely night",Another Lonely Night,Adam Lambert,Sad,2
I didn't mean to try you on,Sorry,Halsey,Sad,2
"Send out a call, birds of a feather
Then show them all, yeah, we do it better-better
We're ten feet tall, above the weather
And if we fall, at least we know we fall together",I love My friends,Steve Aoki,Joy,0
Cause I can change my mind each day,Sorry,Halsey,Sad,2
Near and far closer together,I Love You Always Forever,,Joy,0
And this is when the feeling sinks in,Come Back...Be Here,Taylor Swift,Sad,2
I FUCKED YOUR WIFE-YOUR MARRIAGE ID OVER,I Fucked Your Wife,Anal Cunt,Disgusting,4
"Want to come test me, pussy boy don't try",I’m Supposed to Die Tonight,50 Cent,Anger,1
"Know it sounds like rap, but this shit is real B",I’m Supposed to Die Tonight,50 Cent,Anger,1
Got a whole lot of love,Now or Never,Halsey,Anger,1
"Ya head rush, fly like Egyptian musk",Bring da Ruckus,Wu-Tang Clan,Anger,1
Just as soon as you can.,Tired of Being Alone,Al Green,Sad,2
"And if you threw a party
Invited everyone you knew
Well, you would see the biggest gift would be from me
And the card attached would say
Thank you for being a friend ",Thank You for Being a Friend,Andrew Gold,Joy,0
A child is born to save us now,Hallelujah,BarlowGirl,Joy,0
Suddenly the feeling that I can't go on,The Power Of Love,Celine Dion,Joy,0
Then watch the hearse past,I Don't Give a Fuck,Tupac Shakur,Anger,1
So keep actin' like you don't know where the funds at,Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,1
A nigga's job is never done,Get It On The Floor,DMX,Anger,1
Cause the clocks goin' tick and I'm sick of the bullshit,I Don't Give a Fuck,Tupac Shakur,Anger,1
I'm a do things my way,Angry White Boy Polka,Weird Al Yankovic,Anger,1
"It's ya boy, young",Crazy in Love,Beyoncé,Joy,0
The flow's diesel but the game is sour,Hollow Points,Unknown ,Anger,1
But believe me that you're everything,All I Ever Need,Austin Mahone,Joy,0
Why aren't you scared of me? Why do you care for me?,bury a friend,Billie Eilish,Anger,1
In the search for someone else,Astronaut,Simple Plan,Sad,2
To go over everything,Hello,Adele,Sad,2
When I was sleeping on couches,The Spiteful Chant,Kendrick Lamar,Anger,1
I love her and she's loving me,Good Day Sunshine,The Beatles,Joy,0
Ripping apart the souls of the ones we hunt,Code of the Slashers,Cannibal Corpse,fear,3
I'm D.U.I. hardly ever caught sober,Move Bitch,Ludacris,Anger,1
Situations have ended sad,"You're Gonna Make Me Lonesome When You Go (Take 1, Remake 2)",Bob Dylan,Sad,2
And never let go 'til we're gone,My Heart Will Go On,Celine Dion,Joy,0
And to live for something I could live for,Goodbye to Love,Carpenters,Sad,2
But right now I wish you were here,Wish You Were Here,Avril Lavigne,Sad,2
For no mere mortal can resist,Thriller,Michael Jackson,Fear,3
"Following, following, following to you you-you-you-you-you",Maps,Maroon 5,Sad,2
"I can't help yourself, I skid in doubt",Spikes,Death Grips,Anger,1
"Then them dress gettin' shorter (uh huh)
Make you push a little harder, little faster, little deeper (skrr skrr)
'Fore I promise I be keepin' ya",Writing on the wall,French Montana,Disgusting,4
I want to be there for you,I Wanna Grow Old With You,Westlifes,Fear,3
Like that vending machine that stole my pack of Skittles,Hip Hop Sinister,Hopsin,Anger,1
"Brains spill out, the skull is split through",,Cannibal Corpse,Fear,3
So while you huggin' model jawns I was huggin' the block,Hollow Points,Unknown ,Anger,1
This is the time if year you could give it,Fa La La,Justin Bieber,Joy,0
And I'm floating in a most peculiar way,Space Oddity,David Bowie,Sad,2
It's a new day,Feeling Good,Michael Bublé,Joy,0
Leaving me,Genesis,ARMORS,Anger,1
Salvation's work in our lives proclaim,Jesus,Chris Tomlin,Suprise,5
I'll split your cabbage and lettuce and olives,Drop the World,Lil Wayne,Anger,1
Dancing slowly in an empty room,the lonely,Christina Perri,Sad,2
And all I know of love,Goodbye to Love,Carpenters,Sad,2
"Gagging on chunks of sliced up pussy
I feel pressure....
Pushing in my brain
The force caves in my head
My eyes eject slowly
Where's my knife?
I plunge my knife in",BABY KILLER,"DEVOURMENT

",Disgusting,4
"Same hoes, that was sendin' shots
They reachin' out like their back itchin'",Motorsport,Cardi B and Nicki Minaj,Disgusting,4
"Murder, nigga murder",Hip Hop Sinister,Hopsin,Anger,1
Unburied victims;,"Stripped, Raped and Strangled",Cannibal Corpse,Fear,3
"And when you smile, the whole world stops, and stares for a while",Just The Way You are,Bruno Mars,Joy,0
Feel the burning in my heart,Bleed,Meshuggah,Fear,3
"The why, the who, what, when, the where and the how",The Way I Am,Eminem,Anger,1
In this town of Halloween,This Is Halloween,Danny Elfman,Fear,3
I pray you'll be my eyes,The Prayer,Celine Dion,Suprise,5
"You try to scream, but terror takes the sound before you make it",Thriller,Michael Jackson,Fear,3
Cause I'm your lady,The Power Of Love,Celine Dion,Joy,0
So next time you spit a fucking rhyme that's too simple,Hip Hop Sinister,Hopsin,Anger,1
I can show you the world,A Whole New World,Zayn Malik and Zhavia Ward,Joy,0
And risk your own life to rescue me,Thank You for Loving Me,Bon Jovi,Joy,0
"Mug the manager like, ""What the FUCK'S POPPIN'?,",Agony Fires,Army of the Pharaohs,Anger,1
You're the only thing I wanna touch,Love Me Like You Do,Ellie Goulding,Joy,0
Not enough and you're gonna die,Love Is Like Oxygen,Sweet,Joy,0
Every way I turn I lose,Love Is Like Oxygen,Sweet,Joy,0
I rarely do collaborations cause ya'll ain't qualified to be in a league with me,Hip Hop Sinister,Hopsin,Anger,1
I'll hold you close in my arms,Endliess Love,"Lionel Richie, Diana Ross",Joy,0
"You walked into my life
To stop my tears
Everything's easy now
I have you here",When You Tell Me That You Love Me, Diana Ross and Westlife,Joy,0
I don't know how to be something you miss,Last Kiss,Taylor Swift,Sad,2
"Tell me honestly, would you still love me the same?",Locked away,R. City,Fear,3
From principal to the student body and counselor,Kill You,Eminem,Anger,1
"Is your heart filled with pain, shall I come back again?",Are You Lonesome Tonight,Elvis Presley,Sad,2
The needle tears a hole,Hurt,Johnny Cash,Sad,2
Do the chairs in your parlor seem empty and bare?,Are You Lonesome Tonight,Elvis Presley,Sad,2
Now you don't want no drama boy cause we the drama kings,Who Gives a Fuck Where You From,DJ Kay Slay,Anger,1
A love that I could not forsake,The Power Of Love,Celine Dion,Joy,0
"Good, good, good, good vibrations (oom bop bop)",Good Vibrations,The Beach Boys,Joy,0
"Love, love, love There's nothing you can do that can't be done",All You Need is Love,The Beatles ,Joy,0
"On my soul, it now appears I've lost control",Eaten From Inside,Cannibal Corpse,fear,3
"Got me looking so crazy right now, your love's (oh love)",Crazy in Love,Beyoncé,Joy,0
It's your chance to wake up and plan another brand new day.,A Beautiful Morning,The Rascals,Joy,0
"You hear me? Answer me, or I'ma kill you!",Kill You,Eminem,Anger,1
"Know when you see him, Nothing can free him.",The Loner,Nils Lofgren,Sad,2
What it takes to come alive,We Found Love,Rihanna,Joy,0
I'm from that Staten Island Ho,Who Gives a Fuck Where You From,DJ Kay Slay,Anger,1
Born a king on Bethlehem's plain (Bethlehem's),We Three Kings,Kirk Franklin,Suprise,5
"Watching horror films the night before
Debating witches and folklore
The unknown troubles on your mind
Maybe your mind is playing tricks
You sense,and suddenly eyes fix
On dancing shadows from behind",Fear Of The Dark,IRON MAIDEN,Fear,3
"Mama, just killed a man put a gun against his head",Bohemian Rhapsody,Queen,Suprise,5
"You be yellow-taped, outlined, etch-a-sketched..",Crunk Muzik,The Diplomats,Anger,1
"And the voice I hear falling on my ear
The son of God discloses",In the Garden, Brad Paisley,Joy,0
"At every occasion, I'll be ready for the funeral_x000D_",The Funeral,Band of Horses,Sad,2
Fuck you to the America,I Don't Give a Fuck,Tupac Shakur,Anger,1
"(Blaow!) bitch, run that!",Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,1
I got fucked up on you,Everything Sucks,Scott Helman,Anger,1
"I see trees of green, red roses too",What a Wonderful World,Ledisi,Joy,0
Where dirtbag drink from the same water he piss(hahaha),Hollow Points,Unknown ,Anger,1
Full of broken thoughts,Hurt,Johnny Cash,Sad,2
"Slim switched sides on me, let niggas ride on me",Many Men,50 Cent,Anger,1
All you fagot motherfuckers make way for two zero,Move Bitch,Ludacris,Anger,1
To find the lamb that will save the day (through the storm),We Three Kings,Kirk Franklin,Suprise,5
"Your boughs so green in summertime
Stay bravely green in wintertime
O tannenbaum, o Christmas tree",O Christmas Tree,Aretha Franklin,Joy,0
So they always keep asking the same fucking questions,The Way I Am,Eminem,Anger,1
And fit us for heaven,Away in a Manger,Kidzone,Joy,0
i think I wanna marry you,Marry You,Bruno Mars,Joy,0
"The surfin' dead, ooh make it tight",Surfin' Dead, The Cramps,Fear,3
I have loved you since we were 18,18,one direction,Joy,0
And she's always gone too long,Ain't No Sun Shine,Bill Withers,Sad,2
"Let me down, down",Let me down slowly,Alec Benjamin,Sad,2
Got me looking so crazy right now (love),Crazy in Love,Beyoncé,Joy,0
Your days are numbered like pages in,Drop the World,Lil Wayne,Anger,1
"Carry on, carry on as if nothin' really matters",Bohemian Rhapsody,Queen,Suprise,5
Let you go and let the lonely in,the lonely,Christina Perri,Sad,2
I never loved someone like I love you,Never Knew Lonely,Vince Gill,Sad,2
"Gun play nowadays more frequent,",Agony Fires,Army of the Pharaohs,Anger,1
"All it takes is a rake and a hoe
And a piece of fertile ground",Garden Song,John Denver,Joy,0
Went broke and I came up in the same year,The Spiteful Chant,Kendrick Lamar,Anger,1
Til the vocal cords don't work in her throat no more?,Kill You,Eminem,Anger,1
"The livin' dead insist, it's the latest twist, do the dead",Surfin' Dead, The Cramps,Fear,3
With my heart outside my skin,Lonelier Than This,Steve Earle,Sad,2
"On the corner carolers are singing
There's a touch of magic in the air","Christmas Is The Time To Say ""I Love You""",Billy Squier,Joy,0
Catch you with the small 22. that I had in my boot,Who Gives a Fuck Where You From,DJ Kay Slay,Anger,1
"Bitch, I'm comin' out swingin', so fast it'll make your eyes spin",Just Don't Give a Fuck (a cappella),Eminem,Anger,1
